text,intent
play latest song,play_music
abhi time kya hai,get_time
shutdown system,system_control
funny joke bolo,jokes
tell me the time,get_time
search weather today,search
search weather today,search
aaj ka weather kaisa hai please,weather
youtube khol,open_app
hey abhi time kya hai please,get_time
temperature kitna hai please,weather
play some music,play_music
weather forecast batao,weather
koi joke sunao,jokes
hello,greeting
namaste,greeting
namaste,greeting
current time batao,get_time
please tell time,get_time
hey please launch youtube,open_app
hey assistant,greeting
hey laptop band karo please,system_control
hey weather today please,weather
make me laugh,jokes
play bollywood songs,play_music
look up latest tech news please,search
namaste,greeting
mujhe hasao,jokes
what time is it now please,get_time
start music,play_music
hey gaana chala,play_music
google python tutorial,search
hey please tell time please,get_time
gaana chala,play_music
what time is it now,get_time
tell me the time,get_time
find news about india,search
shutdown system,system_control
mujhe hasao,jokes
restart my pc,system_control
hey is it raining today,weather
hey weather today please,weather
temperature kitna hai please,weather
search weather today please,search
play some music,play_music
tell me a joke please,jokes
hey google python tutorial please,search
hey start notepad,open_app
what time is it now please,get_time
hey play bollywood songs,play_music
hey aaj ka weather kaisa hai,weather
start music please,play_music
good morning,greeting
weather today please,weather
mujhe hasao,jokes
what time is it now,get_time
search artificial intelligence,search
hey play bollywood songs,play_music
tell me a joke please,jokes
koi joke sunao please,jokes
koi joke sunao,jokes
tell me the time,get_time
open youtube,open_app
koi joke sunao,jokes
play some music please,play_music
temperature kitna hai please,weather
temperature kitna hai please,weather
is it raining today,weather
search weather today please,search
hey music on karo,play_music
hey tell me the time,get_time
time now,get_time
weather forecast batao,weather
gaana chala,play_music
make me laugh please,jokes
hey lock my system please,system_control
hey internet pe search karo,search
restart my pc,system_control
abhi time kya hai,get_time
hey tell me a joke,jokes
hey look up latest tech news,search
play a song,play_music
hello bhai,greeting
good evening,greeting
hey google python tutorial,search
hey google python tutorial,search
calculator open karo,open_app
play latest song,play_music
hey hello bhai,greeting
hey launch chrome browser please,open_app
shutdown system,system_control
launch chrome browser,open_app
internet pe search karo,search
abhi time kya hai,get_time
find news about india,search
what time is it now,get_time
current time batao,get_time
hey turn off laptop,system_control
weather forecast batao,weather
lock my system,system_control
good morning,greeting
aaj ka weather kaisa hai,weather
play a song,play_music
koi song chalao,play_music
hello bhai,greeting
current time batao,get_time
laptop band karo,system_control
hey temperature kitna hai please,weather
koi joke sunao,jokes
temperature kitna hai,weather
tell me a joke,jokes
play latest song,play_music
hey turn off laptop please,system_control
start notepad,open_app
restart my pc,system_control
hey laptop band karo,system_control
what time is it now please,get_time
look up latest tech news,search
can you open youtube,open_app
what time is it now,get_time
open my browser,open_app
hello,greeting
hi,greeting
hey play bollywood songs please,play_music
current time batao,get_time
tell me a joke please,jokes
aaj ka weather kaisa hai please,weather
hey open google please,open_app
gaana chala,play_music
internet pe search karo please,search
play bollywood songs,play_music
hey aaj ka weather kaisa hai,weather
start notepad,open_app
make me laugh,jokes
make me laugh please,jokes
hey good morning,greeting
please tell time please,get_time
hey hi please,greeting
what time is it now please,get_time
abhi time kya hai,get_time
hey what time is it now please,get_time
what is machine learning please,search
good morning,greeting
play latest song,play_music
tell me a joke,jokes
laptop band karo,system_control
please launch youtube,open_app
is it raining today,weather
search artificial intelligence please,search
namaste please,greeting
please launch youtube,open_app
gaana chala please,play_music
abhi time kya hai,get_time
launch chrome browser,open_app
hey look up latest tech news,search
koi song chalao please,play_music
what time is it now,get_time
play latest song,play_music
hello,greeting
tell me a joke,jokes
koi joke sunao,jokes
can you open youtube,open_app
funny joke bolo,jokes
funny joke bolo,jokes
namaste please,greeting
make me laugh,jokes
tell me a joke please,jokes
temperature kitna hai,weather
open youtube,open_app
koi joke sunao please,jokes
hey what time is it now,get_time
start notepad,open_app
open google,open_app
namaste please,greeting
sleep computer,system_control
temperature kitna hai please,weather
launch chrome browser,open_app
gaana chala,play_music
is it raining today please,weather
can you open youtube please,open_app
play latest song please,play_music
koi song chalao please,play_music
what time is it now,get_time
search artificial intelligence please,search
what is machine learning,search
hey hello please,greeting
temperature kitna hai,weather
weather today,weather
search artificial intelligence,search
hey assistant please,greeting
koi joke sunao,jokes
find news about india please,search
hey play a song,play_music
start music please,play_music
mujhe hasao,jokes
funny joke bolo,jokes
weather today please,weather
is it raining today please,weather
sleep computer,system_control
koi song chalao please,play_music
hey mujhe hasao please,jokes
hey please launch youtube,open_app
find news about india,search
hello,greeting
tell me a joke please,jokes
open my browser,open_app
is it raining today,weather
calculator open karo,open_app
open google please,open_app
current time batao,get_time
play some music,play_music
what is machine learning please,search
abhi time kya hai,get_time
hello please,greeting
aaj ka weather kaisa hai,weather
hey current time batao please,get_time
can you open youtube,open_app
koi song chalao,play_music
current time batao,get_time
sleep computer,system_control
temperature kitna hai please,weather
funny joke bolo,jokes
make me laugh,jokes
google python tutorial,search
hey open google,open_app
hey hey assistant,greeting
hi please,greeting
please tell time,get_time
start music,play_music
hey launch chrome browser please,open_app
find news about india,search
turn off laptop,system_control
play some music,play_music
hey hello bhai,greeting
what time is it now,get_time
can you open youtube please,open_app
internet pe search karo please,search
shutdown system,system_control
time now,get_time
what time is it now,get_time
tell me a joke,jokes
good morning please,greeting
tell me a joke,jokes
temperature kitna hai,weather
internet pe search karo please,search
play latest song,play_music
mujhe hasao,jokes
play a song,play_music
lock my system please,system_control
hey assistant,greeting
make me laugh,jokes
is it raining today,weather
hey what time is it now,get_time
hey play bollywood songs,play_music
hey internet pe search karo please,search
weather forecast batao,weather
calculator open karo,open_app
youtube khol please,open_app
koi joke sunao,jokes
hey make me laugh please,jokes
lock my system,system_control
open google,open_app
play a song please,play_music
koi joke sunao,jokes
koi joke sunao please,jokes
chrome start karo please,open_app
hey search artificial intelligence,search
calculator open karo,open_app
hey koi song chalao,play_music
weather today please,weather
koi song chalao,play_music
tell me the time,get_time
tell me the time please,get_time
hey assistant please,greeting
current time batao,get_time
hello,greeting
turn off laptop please,system_control
koi song chalao,play_music
shutdown system,system_control
current time batao please,get_time
hey open my browser,open_app
shutdown system,system_control
look up latest tech news,search
play some music please,play_music
good morning,greeting
shutdown system,system_control
hello,greeting
temperature kitna hai,weather
hey hello,greeting
tell me a joke,jokes
hey turn off laptop please,system_control
start notepad,open_app
find news about india please,search
youtube khol,open_app
chrome start karo please,open_app
make me laugh,jokes
look up latest tech news,search
good morning,greeting
make me laugh,jokes
hey please launch youtube please,open_app
turn off laptop,system_control
weather today,weather
what time is it now,get_time
koi joke sunao,jokes
turn off laptop,system_control
hey koi song chalao please,play_music
hey weather forecast batao please,weather
is it raining today,weather
start music,play_music
abhi time kya hai,get_time
ai kya hai,search
weather today,weather
tell me the time,get_time
start notepad,open_app
turn off laptop please,system_control
temperature kitna hai,weather
calculator open karo,open_app
music on karo,play_music
hey can you open youtube,open_app
good evening,greeting
is it raining today,weather
weather today,weather
hey gaana chala,play_music
hey hello,greeting
start notepad please,open_app
music on karo,play_music
weather today,weather
chrome start karo please,open_app
please tell time please,get_time
internet pe search karo,search
make me laugh,jokes
sleep computer,system_control
start notepad,open_app
make me laugh please,jokes
hey mujhe hasao,jokes
hey lock my system,system_control
can you open youtube,open_app
weather today,weather
start notepad,open_app
gaana chala please,play_music
please tell time,get_time
lock my system,system_control
google python tutorial,search
namaste please,greeting
please tell time,get_time
namaste,greeting
turn off laptop,system_control
good evening,greeting
abhi time kya hai,get_time
turn off laptop please,system_control
lock my system,system_control
can you open youtube please,open_app
hey google python tutorial,search
hey hello,greeting
is it raining today,weather
weather today,weather
tell me a joke,jokes
weather forecast batao please,weather
aaj ka weather kaisa hai,weather
please tell time please,get_time
tell me the time,get_time
abhi time kya hai please,get_time
tell me a joke,jokes
hello,greeting
tell me a joke,jokes
gaana chala,play_music
koi joke sunao,jokes
funny joke bolo please,jokes
look up latest tech news,search
koi song chalao please,play_music
sleep computer,system_control
weather forecast batao,weather
music on karo,play_music
play some music,play_music
google python tutorial,search
hey play some music,play_music
gaana chala,play_music
hey aaj ka weather kaisa hai please,weather
play latest song,play_music
launch chrome browser,open_app
is it raining today,weather
please tell time,get_time
open youtube,open_app
launch chrome browser,open_app
abhi time kya hai,get_time
what time is it now please,get_time
make me laugh please,jokes
aaj ka weather kaisa hai,weather
hey restart my pc,system_control
sleep computer please,system_control
hey koi joke sunao,jokes
ai kya hai,search
good evening,greeting
tell me the time,get_time
open youtube,open_app
hi,greeting
sleep computer,system_control
temperature kitna hai please,weather
hello bhai please,greeting
play latest song please,play_music
temperature kitna hai please,weather
play some music,play_music
restart my pc,system_control
hey aaj ka weather kaisa hai please,weather
shutdown system,system_control
hey assistant please,greeting
shutdown system please,system_control
hey start music,play_music
hey is it raining today,weather
hey sleep computer,system_control
hey start notepad,open_app
play latest song,play_music
find news about india,search
hey play a song,play_music
hey funny joke bolo,jokes
lock my system please,system_control
hey assistant,greeting
look up latest tech news,search
hey open google please,open_app
koi joke sunao please,jokes
what is machine learning please,search
find news about india,search
funny joke bolo,jokes
restart my pc,system_control
lock my system,system_control
play bollywood songs,play_music
current time batao,get_time
gaana chala please,play_music
tell me the time,get_time
internet pe search karo,search
can you open youtube,open_app
gaana chala,play_music
find news about india please,search
time now please,get_time
play some music please,play_music
google python tutorial,search
hey namaste,greeting
turn off laptop,system_control
internet pe search karo,search
weather forecast batao,weather
hey current time batao,get_time
play bollywood songs,play_music
hey make me laugh,jokes
current time batao,get_time
sleep computer,system_control
play latest song,play_music
tell me a joke,jokes
hey make me laugh,jokes
hey turn off laptop,system_control
hey weather forecast batao please,weather
time now,get_time
hey hello bhai,greeting
please tell time,get_time
tell me the time please,get_time
turn off laptop please,system_control
hey is it raining today,weather
namaste,greeting
what time is it now,get_time
weather forecast batao,weather
tell me the time please,get_time
search weather today,search
mujhe hasao,jokes
what is machine learning,search
make me laugh,jokes
hey weather forecast batao,weather
turn off laptop,system_control
play bollywood songs,play_music
open youtube,open_app
aaj ka weather kaisa hai please,weather
find news about india,search
is it raining today please,weather
turn off laptop,system_control
internet pe search karo please,search
hey music on karo,play_music
abhi time kya hai,get_time
calculator open karo,open_app
koi joke sunao,jokes
hello please,greeting
make me laugh please,jokes
ai kya hai,search
hello please,greeting
funny joke bolo,jokes
temperature kitna hai please,weather
is it raining today,weather
koi joke sunao,jokes
sleep computer,system_control
google python tutorial,search
weather forecast batao,weather
open my browser please,open_app
good morning please,greeting
tell me the time please,get_time
is it raining today,weather
tell me a joke,jokes
sleep computer,system_control
search weather today please,search
make me laugh please,jokes
laptop band karo,system_control
play latest song,play_music
ai kya hai,search
temperature kitna hai,weather
koi song chalao,play_music
what time is it now please,get_time
google python tutorial please,search
koi joke sunao please,jokes
tell me the time,get_time
tell me the time,get_time
hey search artificial intelligence,search
koi joke sunao,jokes
sleep computer,system_control
mujhe hasao,jokes
laptop band karo,system_control
namaste,greeting
aaj ka weather kaisa hai,weather
can you open youtube,open_app
what is machine learning please,search
hi please,greeting
hey namaste,greeting
hello bhai,greeting
hey assistant please,greeting
hey aaj ka weather kaisa hai,weather
tell me a joke,jokes
hey assistant,greeting
hey weather forecast batao please,weather
aaj ka weather kaisa hai,weather
hi,greeting
gaana chala,play_music
abhi time kya hai please,get_time
ai kya hai please,search
play bollywood songs please,play_music
turn off laptop,system_control
play bollywood songs please,play_music
hey assistant,greeting
internet pe search karo,search
chrome start karo please,open_app
hey turn off laptop please,system_control
namaste,greeting
can you open youtube,open_app
make me laugh please,jokes
open google,open_app
please tell time please,get_time
make me laugh,jokes
weather forecast batao,weather
hey is it raining today,weather
weather today,weather
google python tutorial,search
hey assistant,greeting
play bollywood songs please,play_music
gaana chala,play_music
hey aaj ka weather kaisa hai,weather
what time is it now,get_time
hey what is machine learning please,search
weather forecast batao,weather
sleep computer please,system_control
what time is it now please,get_time
play latest song,play_music
hey time now,get_time
hey temperature kitna hai,weather
search artificial intelligence please,search
tell me a joke,jokes
temperature kitna hai,weather
hey koi song chalao,play_music
tell me the time please,get_time
turn off laptop,system_control
play latest song,play_music
tell me a joke,jokes
good morning please,greeting
chrome start karo,open_app
koi joke sunao please,jokes
hello bhai,greeting
hey look up latest tech news please,search
play bollywood songs,play_music
is it raining today,weather
hey time now,get_time
hey assistant,greeting
lock my system please,system_control
ai kya hai,search
is it raining today,weather
tell me a joke,jokes
tell me a joke,jokes
hey tell me a joke,jokes
hey laptop band karo,system_control
hey look up latest tech news,search
good evening,greeting
weather today please,weather
aaj ka weather kaisa hai,weather
open google please,open_app
please launch youtube,open_app
play a song,play_music
find news about india please,search
koi joke sunao,jokes
hey restart my pc please,system_control
weather forecast batao please,weather
hello bhai,greeting
please launch youtube,open_app
hey assistant,greeting
good evening please,greeting
start music,play_music
hello,greeting
sleep computer,system_control
shutdown system please,system_control
weather forecast batao please,weather
laptop band karo please,system_control
hey turn off laptop,system_control
tell me a joke please,jokes
hey hello,greeting
play some music,play_music
good morning,greeting
hey music on karo please,play_music
start notepad please,open_app
good morning,greeting
ai kya hai,search
koi joke sunao,jokes
hello,greeting
sleep computer please,system_control
search weather today,search
gaana chala,play_music
hey tell me the time,get_time
gaana chala please,play_music
please tell time please,get_time
look up latest tech news please,search
chrome start karo,open_app
gaana chala,play_music
hey assistant,greeting
play a song please,play_music
music on karo please,play_music
shutdown system,system_control
good morning,greeting
tell me the time,get_time
time now please,get_time
good evening,greeting
calculator open karo please,open_app
good morning please,greeting
what is machine learning,search
hey hello,greeting
internet pe search karo,search
what time is it now,get_time
what is machine learning,search
aaj ka weather kaisa hai,weather
abhi time kya hai,get_time
aaj ka weather kaisa hai,weather
time now,get_time
hey hello please,greeting
what time is it now,get_time
hey calculator open karo,open_app
make me laugh,jokes
hey tell me a joke,jokes
chrome start karo,open_app
mujhe hasao please,jokes
hi,greeting
shutdown system,system_control
hey look up latest tech news,search
namaste,greeting
tell me a joke,jokes
funny joke bolo,jokes
restart my pc,system_control
search weather today,search
please launch youtube please,open_app
play latest song,play_music
is it raining today,weather
mujhe hasao,jokes
what time is it now,get_time
funny joke bolo,jokes
funny joke bolo,jokes
internet pe search karo please,search
hey make me laugh,jokes
search weather today please,search
weather today,weather
good evening,greeting
tell me the time,get_time
koi song chalao,play_music
good morning,greeting
tell me a joke,jokes
lock my system please,system_control
ai kya hai,search
make me laugh please,jokes
hey mujhe hasao please,jokes
mujhe hasao,jokes
restart my pc,system_control
hey internet pe search karo,search
launch chrome browser,open_app
koi joke sunao,jokes
good morning,greeting
good morning,greeting
please tell time,get_time
internet pe search karo,search
restart my pc,system_control
weather forecast batao,weather
find news about india,search
sleep computer please,system_control
hey shutdown system,system_control
can you open youtube please,open_app
weather forecast batao,weather
ai kya hai,search
tell me a joke,jokes
good morning please,greeting
hey play latest song,play_music
can you open youtube,open_app
hey hey assistant,greeting
good evening please,greeting
hey find news about india,search
what time is it now,get_time
hey weather today,weather
hello,greeting
hey what is machine learning,search
hey weather forecast batao,weather
hello please,greeting
is it raining today please,weather
music on karo,play_music
hey hello please,greeting
shutdown system,system_control
internet pe search karo please,search
temperature kitna hai,weather
shutdown system,system_control
look up latest tech news,search
what is machine learning,search
hey play some music,play_music
play latest song,play_music
music on karo please,play_music
good morning please,greeting
hello,greeting
current time batao please,get_time
hey start notepad,open_app
funny joke bolo please,jokes
hey mujhe hasao please,jokes
hey find news about india,search
mujhe hasao,jokes
search weather today,search
can you open youtube,open_app
open google please,open_app
current time batao,get_time
hey start music,play_music
namaste,greeting
turn off laptop,system_control
weather today,weather
hello bhai,greeting
hey weather today please,weather
hey assistant please,greeting
hey aaj ka weather kaisa hai,weather
weather forecast batao,weather
shutdown system,system_control
turn off laptop,system_control
what is machine learning,search
funny joke bolo,jokes
mujhe hasao,jokes
hey internet pe search karo,search
koi joke sunao,jokes
koi joke sunao please,jokes
good evening,greeting
hello bhai please,greeting
play a song,play_music
hey what time is it now please,get_time
hey koi joke sunao,jokes
music on karo please,play_music
temperature kitna hai,weather
mujhe hasao,jokes
sleep computer,system_control
play latest song,play_music
hey play bollywood songs,play_music
lock my system,system_control
calculator open karo,open_app
namaste,greeting
ai kya hai,search
please launch youtube please,open_app
abhi time kya hai,get_time
find news about india,search
time now please,get_time
restart my pc,system_control
hey play a song,play_music
weather forecast batao,weather
open my browser,open_app
hey assistant,greeting
what time is it now,get_time
please tell time,get_time
mujhe hasao please,jokes
search artificial intelligence,search
what is machine learning,search
hey tell me the time,get_time
calculator open karo,open_app
hey assistant please,greeting
hey shutdown system,system_control
hey funny joke bolo,jokes
current time batao,get_time
tell me the time please,get_time
look up latest tech news please,search
youtube khol please,open_app
internet pe search karo,search
